employer_name,num_applications,year,head_quarter
INFOSYS LIMITED,32257,2013,India
TATA CONSULTANCY SERVICES LIMITED,8790,2013,India
WIPRO LIMITED,6734,2013,India
DELOITTE CONSULTING LLP,6124,2013,US
ACCENTURE LLP,4994,2013,US
MICROSOFT CORPORATION,3902,2013,US
IBM INDIA PRIVATE LIMITED,3593,2013,India
LARSEN & TOUBRO INFOTECH LIMITED,3143,2013,India
"HCL AMERICA, INC.",3013,2013,India
ERNST & YOUNG U.S. LLP,2184,2013,US
IBM CORPORATION,2180,2013,US
GOOGLE INC.,2167,2013,US
IGATE TECHNOLOGIES INC.,2059,2013,US
INTEL CORPORATION,1947,2013,US
"QUALCOMM TECHNOLOGIES, INC.",1901,2013,US
INFOSYS LIMITED,23759,2014,India
TATA CONSULTANCY SERVICES LIMITED,14098,2014,India
WIPRO LIMITED,8365,2014,India
DELOITTE CONSULTING LLP,7017,2014,US
ACCENTURE LLP,5498,2014,US
IBM INDIA PRIVATE LIMITED,5029,2014,India
"HCL AMERICA, INC.",4749,2014,India
ERNST & YOUNG U.S. LLP,3961,2014,US
LARSEN & TOUBRO INFOTECH LIMITED,3939,2014,India
MICROSOFT CORPORATION,3750,2014,US
IGATE TECHNOLOGIES INC.,3124,2014,US
GOOGLE INC.,2951,2014,US
INTEL CORPORATION,2506,2014,US
IBM CORPORATION,2457,2014,US
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,2358,2014,US
INFOSYS LIMITED,33245,2015,India
TATA CONSULTANCY SERVICES LIMITED,16562,2015,India
WIPRO LIMITED,12201,2015,India
IBM INDIA PRIVATE LIMITED,10693,2015,India
ACCENTURE LLP,9605,2015,US
DELOITTE CONSULTING LLP,7607,2015,US
"HCL AMERICA, INC.",6110,2015,India
MICROSOFT CORPORATION,4575,2015,US
IGATE TECHNOLOGIES INC.,4554,2015,US
ERNST & YOUNG U.S. LLP,4144,2015,US
GOOGLE INC.,3571,2015,US
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,3522,2015,US
LARSEN & TOUBRO INFOTECH LIMITED,3513,2015,India
"TECH MAHINDRA (AMERICAS),INC.",3305,2015,India
IBM CORPORATION,2409,2015,US
INFOSYS LIMITED,25353,2016,India
CAPGEMINI AMERICA INC,16725,2016,France
TATA CONSULTANCY SERVICES LIMITED,13134,2016,India
WIPRO LIMITED,10607,2016,India
IBM INDIA PRIVATE LIMITED,9787,2016,India
ACCENTURE LLP,9477,2016,US
DELOITTE CONSULTING LLP,7646,2016,US
"TECH MAHINDRA (AMERICAS),INC.",6746,2016,India
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,5370,2016,US
MICROSOFT CORPORATION,5029,2016,US
"HCL AMERICA, INC.",4931,2016,India
GOOGLE INC.,4785,2016,US
ERNST & YOUNG U.S. LLP,4511,2016,US
IBM CORPORATION,2571,2016,US
AMAZON CORPORATE LLC,2547,2016,US
INFOSYS LIMITED,20587,2017,India
TATA CONSULTANCY SERVICES LIMITED,13529,2017,India
CAPGEMINI AMERICA INC,9604,2017,France
IBM INDIA PRIVATE LIMITED,8734,2017,India
"TECH MAHINDRA (AMERICAS),INC.",7543,2017,India
DELOITTE CONSULTING LLP,7179,2017,US
ACCENTURE LLP,6690,2017,US
ERNST & YOUNG U.S. LLP,6096,2017,US
WIPRO LIMITED,5177,2017,India
GOOGLE INC.,5074,2017,US
MICROSOFT CORPORATION,5005,2017,US
"HCL AMERICA, INC.",4263,2017,India
SYNTEL CONSULTING INC.,4187,2017,US
AMAZON CORPORATE LLC,4165,2017,US
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,2707,2017,US
